,fake,profile_pic,sim_name_username_Full match,sim_name_username_No match,sim_name_username_Partial match,extern_url,private,ratio_numlen_username,ratio_numlen_fullname,len_desc,num_posts,num_followers,num_following
258,0,1,0.0,0.0,1.0,1,0,0.0,0.0,49,560,205558,53
259,0,1,0.0,0.0,1.0,0,0,0.0,0.0,23,85,668,609
260,0,1,0.0,1.0,0.0,1,0,0.0,0.0,120,95,1456,555
261,0,1,0.0,0.0,1.0,0,0,0.14,0.0,34,14,410,387
262,0,1,0.0,1.0,0.0,0,1,0.0,0.0,25,52,298,555
263,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,7,254,345
264,0,1,0.0,1.0,0.0,0,0,0.0,0.0,12,197,1070,1072
265,0,1,0.0,1.0,0.0,0,1,0.17,0.0,0,89,1167,618
266,0,1,0.0,1.0,0.0,0,1,0.0,0.0,9,34,335,300
267,0,1,0.0,0.0,1.0,0,0,0.08,0.0,1,283,346,426
268,0,1,0.0,0.0,1.0,0,1,0.0,0.0,18,65,1746,1631
269,0,1,0.0,1.0,0.0,0,1,0.0,0.0,34,126,268,370
270,0,1,0.0,0.0,1.0,0,1,0.0,0.0,23,327,537,1002
271,0,1,0.0,0.0,1.0,0,1,0.0,0.0,19,42,805,488
272,0,1,0.0,1.0,0.0,0,0,0.0,0.0,139,36,1504,52
273,0,1,0.0,1.0,0.0,0,1,0.0,0.0,13,3,104,119
274,0,1,0.0,1.0,0.0,0,0,0.0,0.0,50,53,380,462
275,0,1,0.0,0.0,1.0,1,1,0.0,0.0,46,7,257,346
276,0,1,0.0,1.0,0.0,0,1,0.0,0.0,30,103,1775,7500
277,0,1,0.0,1.0,0.0,0,1,0.3,0.0,26,241,1456,1200
278,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,103,265,264
279,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,93,1051,694
280,0,1,0.0,0.0,1.0,0,0,0.11,0.0,0,1,77,34
281,0,0,0.0,0.0,1.0,0,1,0.0,0.0,27,16,220,323
282,0,1,0.0,0.0,1.0,1,1,0.07,0.0,37,32,178,81
283,0,1,0.0,0.0,1.0,0,1,0.0,0.0,31,1232,728,1213
284,0,1,0.0,1.0,0.0,0,1,0.0,0.0,20,75,668,294
285,0,1,0.0,0.0,1.0,0,0,0.0,0.0,7,5,406,408
286,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,3,37,22
287,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,30,56,114
288,1,0,0.0,1.0,0.0,0,0,0.22,0.0,0,0,90,333
289,1,0,0.0,0.0,1.0,0,0,0.38,0.0,0,0,60,31
290,1,0,0.0,1.0,0.0,0,1,0.43,0.0,0,2,271,445
291,1,1,0.0,1.0,0.0,0,1,0.0,0.0,0,3,1,80
292,1,1,0.0,1.0,0.0,0,1,0.5,0.0,24,13,158,309
293,1,0,0.0,1.0,0.0,0,0,0.31,0.0,0,0,39,64
